AUD,AUD,1.0000
AUD,CAD,1.0013
AUD,CHF,1.3470
AUD,CNY,0.2050
AUD,GBP,1.9032
AUD,ILS,0.3412
AUD,INR,0.0198
AUD,JPY,0.011623
AUD,USD,1.3229
CAD,AUD,0.9993
CAD,CAD,1.0000
CAD,CHF,1.3449
CAD,CNY,0.2039
CAD,GBP,1.9022
CAD,ILS,0.3417
CAD,INR,0.0198
CAD,JPY,0.011649
CAD,USD,1.3251
CHF,AUD,0.7432
CHF,CAD,0.7439
CHF,CHF,1.0000
CHF,CNY,0.1516
CHF,GBP,1.4147
CHF,ILS,0.2541
CHF,INR,0.0147
CHF,JPY,0.0087
CHF,USD,0.9855
CNY,AUD,4.8879
CNY,CAD,4.8878
CNY,CHF,6.5753
CNY,CNY,1.0000
CNY,GBP,9.2902
CNY,ILS,1.6655
CNY,INR,0.0966
CNY,JPY,0.05673
CNY,USD,6.4575
GBP,AUD,0.5265
GBP,CAD,0.5265
GBP,CHF,0.7082
GBP,CNY,0.1078
GBP,GBP,1.0000
GBP,ILS,0.1794
GBP,INR,0.0099
GBP,JPY,0.0061
GBP,USD,0.6956
ILS,AUD,2.9462
ILS,CAD,2.9462
ILS,CHF,3.9507
ILS,CNY,0.6031
ILS,GBP,5.5997
ILS,ILS,1.0000
ILS,INR,0.0583
ILS,JPY,0.0342
ILS,USD,3.8923
INR,AUD,50.7687
INR,CAD,50.7675
INR,CHF,68.2948
INR,CNY,10.3918
INR,GBP,96.4930
INR,ILS,17.2984
INR,INR,1.0000
INR,JPY,0.5892
INR,USD,67.0710
JPY,AUD,86.2350
JPY,CAD,86.2187
JPY,CHF,115.9820
JPY,CNY,17.6485
JPY,GBP,163.8530
JPY,ILS,29.1021
JPY,INR,1.7047
JPY,JPY,1.0000
JPY,USD,113.907
USD,AUD,0.7569
USD,CAD,0.7569
USD,CHF,1.0182
USD,CNY,0.1549
USD,GBP,1.4387
USD,ILS,0.2579
USD,INR,0.0150
USD,JPY,0.0088
USD,USD,1.0000
